match_id,match_date,tournament,team_a,team_b,venue,winner,toss_winner,toss_decision,first_innings_team,first_innings_total,first_innings_wickets,second_innings_team,second_innings_total,second_innings_wickets
sample_20210125_0127,2021-01-25,IPL,Chennai Super Kings,Royal Challengers Bengaluru,Wankhede Stadium,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,177,9,Chennai Super Kings,200,4
sample_20210126_0128,2021-01-26,IPL,Mumbai Indians,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,Lucknow Super Giants,bat,Lucknow Super Giants,205,4,Mumbai Indians,185,8
sample_20210127_0129,2021-01-27,IPL,Kolkata Knight Riders,Rajasthan Royals,Arun Jaitley Stadium,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,144,8,Rajasthan Royals,141,5
sample_20210128_0130,2021-01-28,IPL,Lucknow Super Giants,Mumbai Indians,MA Chidambaram Stadium,Mumbai Indians,Lucknow Super Giants,field,Mumbai Indians,175,3,Lucknow Super Giants,148,9
sample_20210129_0131,2021-01-29,IPL,Delhi Capitals,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,201,8,Chennai Super Kings,221,3
sample_20210130_0132,2021-01-30,IPL,Kolkata Knight Riders,Chennai Super Kings,M Chinnaswamy Stadium,Kolkata Knight Riders,Chennai Super Kings,field,Kolkata Knight Riders,167,6,Chennai Super Kings,163,4
sample_20210131_0133,2021-01-31,IPL,Chennai Super Kings,Gujarat Titans,M Chinnaswamy Stadium,Gujarat Titans,Chennai Super Kings,field,Gujarat Titans,169,6,Chennai Super Kings,152,9
sample_20210201_0134,2021-02-01,IPL,Lucknow Super Giants,Gujarat Titans,Eden Gardens,Gujarat Titans,Lucknow Super Giants,bat,Lucknow Super Giants,185,6,Gujarat Titans,199,6
sample_20210202_0135,2021-02-02,IPL,Lucknow Super Giants,Royal Challengers Bengaluru,Arun Jaitley Stadium,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,150,6,Lucknow Super Giants,136,6
sample_20210203_0136,2021-02-03,IPL,Kolkata Knight Riders,Punjab Kings,Wankhede Stadium,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,144,10,Kolkata Knight Riders,126,6
sample_20210204_0137,2021-02-04,IPL,Kolkata Knight Riders,Punjab Kings,M Chinnaswamy Stadium,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,175,5,Kolkata Knight Riders,172,7
sample_20210205_0138,2021-02-05,IPL,Lucknow Super Giants,Royal Challengers Bengaluru,Arun Jaitley Stadium,Lucknow Super Giants,Lucknow Super Giants,field,Royal Challengers Bengaluru,150,7,Lucknow Super Giants,165,10
sample_20210206_0139,2021-02-06,IPL,Delhi Capitals,Gujarat Titans,Wankhede Stadium,Delhi Capitals,Gujarat Titans,field,Delhi Capitals,170,7,Gujarat Titans,159,7
